step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,1093826151,4,0,28007,348934600,28007,1,4.55,0
0,352968107,2,0,28007,348934600,28007,1,39.68,0
0,2054744914,4,1,28007,1823072687,28007,1,26.89,0
0,1760612790,3,0,28007,348934600,28007,1,17.25,0
0,757503768,5,0,28007,348934600,28007,1,35.72,0
0,1315400589,3,1,28007,348934600,28007,1,25.81,0
0,765155274,1,1,28007,348934600,28007,1,9.1,0
0,202531238,4,1,28007,348934600,28007,1,21.17,0
0,105845174,3,0,28007,348934600,28007,1,32.4,0
0,39858251,5,1,28007,348934600,28007,1,35.4,0
0,98707741,4,1,28007,348934600,28007,1,14.95,0
0,1551465414,1,0,28007,1823072687,28007,1,1.51,0
0,623601481,3,0,28007,50039827,28007,2,68.79,0
0,1865204568,5,0,28007,1823072687,28007,1,20.32,0
0,490238464,3,0,28007,348934600,28007,1,13.56,0
0,194016923,3,1,28007,348934600,28007,1,30.19,0
0,1207205377,4,0,28007,1823072687,28007,1,17.54,0
0,834963773,5,1,28007,348934600,28007,1,40.69,0
0,1897705669,2,0,28007,348934600,28007,1,21.21,0
0,124539163,2,1,28007,348934600,28007,1,10.09,0
0,1687101094,2,1,28007,348934600,28007,1,19.31,0
0,1695454092,2,0,28007,348934600,28007,1,44.22,0
0,986553990,5,1,28007,348934600,28007,1,44.39,0
0,819690995,5,1,28007,348934600,28007,1,30.72,0
0,1622124632,2,0,28007,348934600,28007,1,29.84,0
0,187514477,3,0,28007,348934600,28007,1,12.1,0
0,272748313,4,0,28007,348934600,28007,1,24.84,0
0,490092965,2,0,28007,348934600,28007,1,16.42,0
0,546957379,5,0,28007,348934600,28007,1,2.19,0
0,1563705147,5,1,28007,348934600,28007,1,32.27,0
0,1273110804,4,0,28007,348934600,28007,1,28.09,0
0,1582366224,5,0,28007,1823072687,28007,1,16.13,0
0,998987490,2,1,28007,348934600,28007,1,32.7,0
0,1413412440,2,1,28007,348934600,28007,1,25.53,0
0,1166355595,4,1,28007,348934600,28007,1,39.22,0
0,719598710,5,1,28007,348934600,28007,1,46.14,0
0,1161949399,2,0,28007,348934600,28007,1,29.55,0
0,60351691,2,1,28007,1823072687,28007,1,36.88,0
0,1769927077,2,1,28007,348934600,28007,1,36.15,0
0,995844287,5,1,28007,348934600,28007,1,2.81,0
0,1425441042,2,0,28007,1888755466,28007,15,87.67,0
0,337109624,2,1,28007,1823072687,28007,1,11.17,0
0,1635613216,4,1,28007,1053599405,28007,2,105.59,0
0,996804095,3,0,28007,348934600,28007,1,15.25,0
0,1331907286,2,0,28007,348934600,28007,1,33.36,0
0,506520283,4,1,28007,348934600,28007,1,32.96,0
0,83613815,2,1,28007,348934600,28007,1,16.96,0
0,1697528836,3,1,28007,1823072687,28007,1,49.91,0
0,168310052,2,0,28007,348934600,28007,1,0.93,0
0,2096367617,2,0,28007,348934600,28007,1,37.71,0
0,1870872671,2,1,28007,1823072687,28007,1,12.53,0
0,823286801,2,1,28007,348934600,28007,1,56.97,0
0,1038996959,2,0,28007,348934600,28007,1,31.32,0
0,345742557,5,1,28007,348934600,28007,1,21.15,0
0,638163213,1,1,28007,348934600,28007,1,3.12,0
0,1941625566,3,1,28007,348934600,28007,1,33.41,0
0,1180570487,6,1,28007,1823072687,28007,1,45.92,0
0,51444479,3,0,28007,348934600,28007,1,36.82,0
0,153419170,3,1,28007,1823072687,28007,1,20.05,0
0,574062699,2,0,28007,348934600,28007,1,43.75,0
0,1087788850,4,0,28007,348934600,28007,1,44.88,0
0,2126436338,1,1,28007,348934600,28007,1,18.45,0
0,1820855004,2,1,28007,348934600,28007,1,29.66,0
0,487569403,2,0,28007,348934600,28007,1,28.38,0
0,923875417,5,1,28007,348934600,28007,1,62.76,0
0,579037870,6,0,28007,348934600,28007,1,21.6,0
